year,name,rating,category,engine,detail_url
2023,Brixton Cromwell 1200,-,Sport,1222 ccm,https://bikez.com/motorcycles/brixton_cromwell_1200_2023.php
2023,Brixton Cromwell 125,-,Allround,125 ccm,https://bikez.com/motorcycles/brixton_cromwell_125_2023.php
2023,Brixton Cromwell 250,-,Allround,249 ccm,https://bikez.com/motorcycles/brixton_cromwell_250_2023.php
2023,Brixton Crossfire 125,-,Enduro/offroad,125 ccm,https://bikez.com/motorcycles/brixton_crossfire_125_2023.php
2023,Brixton Crossfire 125 XS,-,Enduro/offroad,125 ccm,https://bikez.com/motorcycles/brixton_crossfire_125_xs_2023.php
2023,Brixton Crossfire 500,-,Allround,486 ccm,https://bikez.com/motorcycles/brixton_crossfire_500_2023.php
2023,Brixton Crossfire 500 X,-,Sport,486 ccm,https://bikez.com/motorcycles/brixton_crossfire_500_x_2023.php
2023,Brixton Crossfire 500 XC,-,Allround,486 ccm,https://bikez.com/motorcycles/brixton_crossfire_500_xc_2023.php
2023,Brixton Felsberg 125,-,Allround,125 ccm,https://bikez.com/motorcycles/brixton_felsberg_125_2023.php
2023,Brixton Felsberg 125 XC,-,Enduro/offroad,125 ccm,https://bikez.com/motorcycles/brixton_felsberg_125_xc_2023.php
2023,Brixton Felsberg 250,-,Allround,249 ccm,https://bikez.com/motorcycles/brixton_felsberg_250_2023.php
2023,Brixton Layback,-,Prototype/concept model,Electric,https://bikez.com/motorcycles/brixton_layback_2023.php
2023,Brixton Rayburn 125,-,Allround,125 ccm,https://bikez.com/motorcycles/brixton_rayburn_125_2023.php
2023,Brixton Storr 500,-,Prototype/concept model,486 ccm,https://bikez.com/motorcycles/brixton_storr_500_2023.php
2023,Brixton Sunray 125,-,Allround,125 ccm,https://bikez.com/motorcycles/brixton_sunray_125_2023.php
2023,Brough Superior AMB 001,-,Sport,997 ccm,https://bikez.com/motorcycles/brough_superior_amb_001_2023.php
2023,Brough Superior AMB 001 Pro,-,Sport,997 ccm,https://bikez.com/motorcycles/brough_superior_amb_001_pro_2023.php
2023,Brough Superior Anniversary Golden Dream,-,Sport,997 ccm,https://bikez.com/motorcycles/brough_superior_anniversary_golden_dream_2023.php
2023,Brough Superior Anniversary Original,-,Sport,997 ccm,https://bikez.com/motorcycles/brough_superior_anniversary_original_2023.php
2023,Brough Superior Lawrence,-,Naked bike,997 ccm,https://bikez.com/motorcycles/brough_superior_lawrence_2023.php
2023,Brough Superior Lawrence Dagger,-,Allround,997 ccm,https://bikez.com/motorcycles/brough_superior_lawrence_dagger_2023.php
2023,Brough Superior Lawrence Nefud,-,Allround,997 ccm,https://bikez.com/motorcycles/brough_superior_lawrence_nefud_2023.php
2023,Brough Superior Pendine Dixon,-,Enduro/offroad,997 ccm,https://bikez.com/motorcycles/brough_superior_pendine_dixon_2023.php
2023,Brough Superior Pendine Sand Racer,-,Enduro/offroad,997 ccm,https://bikez.com/motorcycles/brough_superior_pendine_sand_racer_2023.php
2023,Brough Superior SS100,-,Sport,997 ccm,https://bikez.com/motorcycles/brough_superior_ss100_2023.php
2023,Brough Superior SS100 Bert Le Vack,-,Sport,997 ccm,https://bikez.com/motorcycles/brough_superior_ss100_bert_le_vack_2023.php
2023,Brough Superior SS100 Karslake,-,Sport,997 ccm,https://bikez.com/motorcycles/brough_superior_ss100_karslake_2023.php
2023,Brough Superior SS100 Salt Racer,-,Sport,997 ccm,https://bikez.com/motorcycles/brough_superior_ss100_salt_racer_2023.php
2023,BSA Gold Star,Show rating,Classic,652 ccm,https://bikez.com/motorcycles/bsa_gold_star_2023.php
